ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished
99846469,-,0,RM 100 per month,Kuala Lumpur - Mid Valley City,Residential,0,0,0,100 sq.ft.,-
100849484,-,0,-,Selangor - 149,Bungalow House,3,0,2,534 sq.ft.,-
100849472,Affina Bay @ Butterworth,0,-,Selangor - 77,Condominium,4,2,2,1500 sq.ft.,-
100676485,-,0,RM 85 per month,Selangor - Seri Kembangan,Soho,0,1,0,761 sq.ft.,-
100633464,-,0,RM 600 per month,Selangor - Kajang,Others,0,0,0,750 sq.ft.,-
100323185,The Hipster @ Taman Desa,2022,RM 4 200 per month,Kuala Lumpur - Taman Desa,Condominium,5,2,6,1842 sq.ft.,Fully Furnished
100323128,Pangsapuri Teratak Muhibbah 2,0,RM 1 000 per month,Kuala Lumpur - Taman Desa,Apartment,3,0,2,650 sq.ft.,Fully Furnished
100322962,Sky Meridien,0,RM 2 900 per month,Kuala Lumpur - Sentul,Service Residence,3,2,2,982 sq.ft.,Fully Furnished
100322885,Arte Plus Jalan Ampang,2018,RM 1 550 per month,Kuala Lumpur - Ampang,Service Residence,1,1,1,700 sq.ft.,Fully Furnished
100322866,Nova I,2014,RM 1 400 per month,Kuala Lumpur - Segambut,Apartment,2,1,1,750 sq.ft.,Fully Furnished
100322802,Arte Plus Jalan Ampang,2018,RM 1 500 per month,Kuala Lumpur - Ampang,Service Residence,1,1,1,700 sq.ft.,Fully Furnished
87950203,Maxim Citilights,2017,RM 1 300 per month,Kuala Lumpur - Sentul,Service Residence,3,1,2,1009 sq.ft.,Fully Furnished
100322320,Legasi Kampong Bharu,2020,RM 3 200 per month,Kuala Lumpur - KL City,Apartment,3,1,2,950 sq.ft.,Fully Furnished
100322311,Legasi Kampong Bharu,2020,RM 3 200 per month,Kuala Lumpur - KL City,Apartment,3,1,2,950 sq.ft.,Fully Furnished
100231953,East Side One Ampang Avenue,0,RM 1 800 per month,Kuala Lumpur - Ampang,Condominium,3,1,2,1100 sq.ft.,Fully Furnished
100322100,28 Dutamas,2017,RM 2 900 per month,Kuala Lumpur - Solaris Dutamas,Condominium,4,2,3,1719 sq.ft.,Fully Furnished
100202252,Residensi Vista Wirajaya,0,RM 1 800 per month,Kuala Lumpur - Setapak,Apartment,3,1,2,885 sq.ft.,Fully Furnished
100234716,Flexus Signature Suites,0,RM 1 500 per month,Kuala Lumpur - Jalan Kuching,Studio,1,1,1,530 sq.ft.,Fully Furnished
100322047,Menjalara 18,0,RM 2 400 per month,Kuala Lumpur - Bandar Menjalara,Condominium,3,1,2,1316 sq.ft.,Fully Furnished
93075352,G Residence @ Desa Pandan,2015,RM 4 500 per month,Kuala Lumpur - Desa Pandan,Service Residence,3,2,2,1539 sq.ft.,Fully Furnished
98292007,Bennington Residences @ SkyArena,2019,RM 3 000 per month,Kuala Lumpur - Setapak,Condominium,3,2,2,1200 sq.ft.,Fully Furnished
100321936,Sri Putramas,2004,RM 1 600 per month,Kuala Lumpur - Jalan Kuching,Condominium,3,1,2,1100 sq.ft.,Fully Furnished
100321976,Putra Villa,2007,RM 1 800 per month,Kuala Lumpur - Setapak,Condominium,3,0,2,1066 sq.ft.,Fully Furnished
99627362,38 Bidara,0,RM 2 100 per month,Kuala Lumpur - KLCC,Condominium,2,0,2,706 sq.ft.,Fully Furnished
99492392,3 Towers,2015,RM 2 500 per month,Kuala Lumpur - Ampang Hilir,Condominium,2,1,1,890 sq.ft.,Fully Furnished
99528357,Casa Mutiara,2007,RM 2 000 per month,Kuala Lumpur - Bukit Bintang,Service Residence,2,1,2,742 sq.ft.,Fully Furnished
100321885,Sofiya Residences,0,RM 2 000 per month,Kuala Lumpur - Desa ParkCity,Condominium,3,1,2,862 sq.ft.,Fully Furnished
100273689,Laman Tasik,2002,RM 2 100 per month,Kuala Lumpur - Cheras,Condominium,4,1,3,1300 sq.ft.,Fully Furnished
100033960,The Hamilton,2020,RM 2 600 per month,Kuala Lumpur - Wangsa Maju,Condominium,4,2,2,1000 sq.ft.,Fully Furnished
99844667,3 Towers,2015,RM 2 000 per month,Kuala Lumpur - Ampang Hilir,Service Residence,1,1,1,440 sq.ft.,Fully Furnished
100321850,Menjalara 18,0,RM 2 500 per month,Kuala Lumpur - Bandar Menjalara,Condominium,5,2,3,1600 sq.ft.,Fully Furnished
100321800,The Havre @ Bukit Jalil,2020,RM 2 500 per month,Kuala Lumpur - Bukit Jalil,Condominium,3,2,2,1028 sq.ft.,Fully Furnished
94858400,-,0,RM 2 000 per month,Kuala Lumpur - Setapak,Condominium,4,0,2,940 sq.ft.,Fully Furnished
93420010,-,0,RM 1 800 per month,Kuala Lumpur - Setapak,Condominium,3,1,2,860 sq.ft.,Fully Furnished
94861261,-,0,RM 2 000 per month,Kuala Lumpur - Jalan Kuching,Condominium,3,2,2,1100 sq.ft.,Fully Furnished
95865588,-,0,RM 1 850 per month,Kuala Lumpur - Kepong,Condominium,3,2,2,1100 sq.ft.,Fully Furnished
97361227,-,0,RM 1 700 per month,Kuala Lumpur - Jalan Ipoh,Service Residence,2,1,2,904 sq.ft.,Fully Furnished
